FECHA,PRECIP,EVAP,TMAX,TMIN
08/11/1961,0,3.2,16.5,8.5
09/11/1961,0,3.4,20.5,7.5
10/11/1961,0,4.8,22.5,7.5
11/11/1961,0.01,3.3,17,8
12/11/1961,5.5,1.4,17.5,10
13/11/1961,0,3.2,20.5,10
14/11/1961,3,3.4,22.5,5.5
15/11/1961,0.01,4.6,22,7
16/11/1961,0,2.3,22.5,7
17/11/1961,0,4.5,21.5,6.5
18/11/1961,0,4.4,23,2.5
19/11/1961,0,3.7,22.5,4.5
20/11/1961,3,4.6,22.5,4.5
21/11/1961,0,2.3,21.5,3
22/11/1961,0,3.8,21.5,4.5
23/11/1961,0,4.8,22,1
24/11/1961,0,3.4,23,0
25/11/1961,0,6.7,21.5,-5
26/11/1961,0,3.7,21.5,-7
27/11/1961,0,4.6,22,-7.5
28/11/1961,0,4.1,23,-8
29/11/1961,0,4,23,-6
30/11/1961,0,3.9,21.5,-6
01/12/1961,0,4.5,22,1
02/12/1961,0,3.4,20.5,0
03/12/1961,0,4.2,20.5,0
04/12/1961,0,4.2,20.5,-3
05/12/1961,0,4.5,21,-1
06/12/1961,0,3.5,21.5,2
07/12/1961,0,3.9,21,-0.5
08/12/1961,0,5.4,20,1.5
09/12/1961,0,3.2,20.5,3
10/12/1961,0,4.8,22.5,0
11/12/1961,0,4.5,22.5,1.5
12/12/1961,0,5.3,22.5,4.5
13/12/1961,0,3.6,21.5,4.5
14/12/1961,0,4.4,21.5,2.5
15/12/1961,0,2.2,22,5
16/12/1961,0,2.9,22,4
17/12/1961,0,3.9,21,6.5
18/12/1961,0,3.9,21.5,4
19/12/1961,0,3.9,20.5,1.5
20/12/1961,3.5,1.1,15,2
21/12/1961,0,3.6,15.5,6
22/12/1961,0,2.5,21,0.5
23/12/1961,0,3.1,20,0.5
24/12/1961,0,3.1,17.5,0.5
25/12/1961,0,1.7,18.5,2
26/12/1961,0,4,20.5,0
27/12/1961,0,3.6,19,0.5
28/12/1961,0,3.7,19.5,-1
29/12/1961,0,4.7,19,5
30/12/1961,0,4.1,22,2
31/12/1961,0,4.3,22.5,2
01/01/1962,0,4.4,20,5
02/01/1962,0,3.6,22.5,-0.5
03/01/1962,0,4.3,20,0
04/01/1962,0,5.9,20.5,4
05/01/1962,0,5.7,21,4.5
06/01/1962,0,4.9,22.5,-1.5
07/01/1962,0,4.4,23.5,0
08/01/1962,0,6.2,20,-1
09/01/1962,0,5.3,22.5,-1
10/01/1962,0,5.5,19,-2
11/01/1962,0,4.8,18,1
12/01/1962,0,5.2,19.5,2.5
13/01/1962,0,3.5,20,5.5
14/01/1962,0,6.2,20.5,0
15/01/1962,0,4.3,22.5,-5
16/01/1962,0,4.8,23.5,-5
17/01/1962,0,5.3,22,-3.5
18/01/1962,0,4.8,22,-2.5
19/01/1962,0,5.8,22.5,-1.5
20/01/1962,0,4.9,22,1
21/01/1962,0,5.6,22.5,4
22/01/1962,0,4.1,23,3.5
23/01/1962,0,4.8,24,1
24/01/1962,0,4.5,24,-1
25/01/1962,0,5.2,22,2.5
26/01/1962,0,5.7,22,1.5
27/01/1962,0,4.6,21,0.5
28/01/1962,0,3.9,21,1.5
29/01/1962,0,4.7,19.5,-1
30/01/1962,0,3.9,20.5,-4.5
31/01/1962,0,3.7,20,0.5
01/02/1962,0,3.4,20,3.5
02/02/1962,0,5.4,22,2.5
03/02/1962,0,3.9,22,0
04/02/1962,0,3.7,22,1.5
05/02/1962,0,5.1,25,1
06/02/1962,0,4.6,22.5,3.5
07/02/1962,0,5.8,23.5,4
08/02/1962,0,6.6,25,5
09/02/1962,0,6.1,25,1.5
10/02/1962,0,4.9,24.5,0
11/02/1962,0,5.1,23,-1.5
12/02/1962,0,6.1,21.5,-5.5
13/02/1962,0,5.6,23,-5.5
14/02/1962,0,5.6,22,2
15/02/1962,0,6.2,25.5,2.5
16/02/1962,0,2.6,24.5,1.5
17/02/1962,0.01,4.2,24,3
18/02/1962,0.01,6.2,25,2.5
19/02/1962,0,4.6,25,3
20/02/1962,0,5.2,27,2.5
21/02/1962,0,4.8,26.5,2
22/02/1962,0,4.7,26,2.5
23/02/1962,0,7.2,24.5,5.5
24/02/1962,0,6.4,25,2.5
25/02/1962,0,5.6,26,3
26/02/1962,0,6.2,27.5,2.5
27/02/1962,0,5.3,25,4.5
28/02/1962,0,4.3,26,2
01/03/1962,0,6.3,23.5,4.5
02/03/1962,0,4.8,25.5,3
03/03/1962,0,5.5,25,3.5
04/03/1962,0,4.3,27,4.5
05/03/1962,0,5.2,24,6
06/03/1962,0,5.8,25,0
07/03/1962,0,5.5,25,3.5
08/03/1962,0,6.5,25.5,5.5
09/03/1962,0,5.5,26.5,7
10/03/1962,0,6.6,25.5,8
11/03/1962,0,5,25.5,5
12/03/1962,0,7.1,25.5,6
13/03/1962,0,6.9,25.5,7.5
14/03/1962,0,6.8,23.5,9
15/03/1962,0,6.4,23.5,9
16/03/1962,0,6.3,24,6
17/03/1962,0,6.8,24.5,3.5
18/03/1962,0.01,6.2,26,6
19/03/1962,0,6.1,26,7
20/03/1962,0,7.1,25,7.5
21/03/1962,0,7.4,26.5,6.5
22/03/1962,0,5.8,26,6
23/03/1962,0,7.1,26,4.5
24/03/1962,0,7,26.5,8.5
25/03/1962,0,8.1,26.5,8
26/03/1962,0.01,5.5,25.5,1
27/03/1962,0,5.5,25,2.5
